wkt;id;name
"POINT (350029.375 6179616.500)";1;REGULAR
"POINT (350079.375 6176666.500)";1;REGULAR
"POINT (350079.375 6176716.500)";1;REGULAR
"POINT (350079.375 6176766.500)";1;REGULAR
"POINT (350079.375 6176816.500)";1;REGULAR
"POINT (350079.375 6176866.500)";1;REGULAR
"POINT (350079.375 6176916.500)";1;REGULAR
"POINT (350079.375 6176966.500)";1;REGULAR
"POINT (350079.375 6177016.500)";1;REGULAR
"POINT (350079.375 6177066.500)";1;REGULAR
"POINT (350079.375 6177116.500)";1;REGULAR
"POINT (350079.375 6177166.500)";1;REGULAR
"POINT (350079.375 6177216.500)";1;REGULAR
"POINT (350079.375 6177266.500)";1;REGULAR
"POINT (350079.375 6177316.500)";1;REGULAR
"POINT (350079.375 6177366.500)";1;REGULAR
"POINT (350079.375 6177416.500)";1;REGULAR
"POINT (350079.375 6177466.500)";1;REGULAR
"POINT (350079.375 6177516.500)";1;REGULAR
"POINT (350079.375 6177566.500)";1;REGULAR
"POINT (350079.375 6177616.500)";1;REGULAR
"POINT (350079.375 6177666.500)";1;REGULAR
"POINT (350079.375 6177716.500)";1;REGULAR
"POINT (350079.375 6177766.500)";1;REGULAR
"POINT (350079.375 6177816.500)";1;REGULAR
"POINT (350079.375 6177866.500)";1;REGULAR
"POINT (350079.375 6177916.500)";1;REGULAR
"POINT (350079.375 6177966.500)";1;REGULAR
"POINT (350079.375 6178016.500)";1;REGULAR
"POINT (350079.375 6178066.500)";1;REGULAR
"POINT (350079.375 6178116.500)";1;REGULAR
"POINT (350079.375 6178166.500)";1;REGULAR
"POINT (350079.375 6178216.500)";1;REGULAR
"POINT (350079.375 6178266.500)";1;REGULAR
"POINT (350079.375 6178316.500)";1;REGULAR
"POINT (350079.375 6178366.500)";1;REGULAR
"POINT (350079.375 6178416.500)";1;REGULAR
"POINT (350079.375 6178466.500)";1;REGULAR
"POINT (350079.375 6178516.500)";1;REGULAR
"POINT (350079.375 6178566.500)";1;REGULAR
"POINT (350079.375 6178616.500)";1;REGULAR
"POINT (350079.375 6178666.500)";1;REGULAR
"POINT (350079.375 6178716.500)";1;REGULAR
"POINT (350079.375 6178766.500)";1;REGULAR
"POINT (350079.375 6178816.500)";1;REGULAR
"POINT (350079.375 6178866.500)";1;REGULAR
"POINT (350079.375 6178916.500)";1;REGULAR
"POINT (350079.375 6178966.500)";1;REGULAR
"POINT (350079.375 6179016.500)";1;REGULAR
"POINT (350079.375 6179066.500)";1;REGULAR
"POINT (350079.375 6179116.500)";1;REGULAR
"POINT (350079.375 6179166.500)";1;REGULAR
"POINT (350079.375 6179216.500)";1;REGULAR
"POINT (350079.375 6179266.500)";1;REGULAR
"POINT (350079.375 6179316.500)";1;REGULAR
"POINT (350079.375 6179366.500)";1;REGULAR
"POINT (350079.375 6179416.500)";1;REGULAR
"POINT (350079.375 6179466.500)";1;REGULAR
"POINT (350079.375 6179516.500)";1;REGULAR
"POINT (350079.375 6179566.500)";1;REGULAR
"POINT (350079.375 6179616.500)";1;REGULAR
"POINT (350079.375 6179666.500)";1;REGULAR
"POINT (350129.375 6176616.500)";1;REGULAR
"POINT (350129.375 6176666.500)";1;REGULAR
"POINT (350129.375 6176716.500)";1;REGULAR
"POINT (350129.375 6176766.500)";1;REGULAR
"POINT (350129.375 6176816.500)";1;REGULAR
"POINT (350129.375 6176866.500)";1;REGULAR
"POINT (350129.375 6176916.500)";1;REGULAR
"POINT (350129.375 6176966.500)";1;REGULAR
"POINT (350129.375 6177016.500)";1;REGULAR
"POINT (350129.375 6177066.500)";1;REGULAR
"POINT (350129.375 6177116.500)";1;REGULAR
"POINT (350129.375 6177166.500)";1;REGULAR
"POINT (350129.375 6177216.500)";1;REGULAR
"POINT (350129.375 6177266.500)";1;REGULAR
"POINT (350129.375 6177316.500)";1;REGULAR
"POINT (350129.375 6177366.500)";1;REGULAR
"POINT (350129.375 6177416.500)";1;REGULAR
"POINT (350129.375 6177466.500)";1;REGULAR
"POINT (350129.375 6177516.500)";1;REGULAR
"POINT (350129.375 6177566.500)";1;REGULAR
"POINT (350129.375 6177616.500)";1;REGULAR
"POINT (350129.375 6177666.500)";1;REGULAR
"POINT (350129.375 6177716.500)";1;REGULAR
"POINT (350129.375 6177766.500)";1;REGULAR
"POINT (350129.375 6177816.500)";1;REGULAR
"POINT (350129.375 6177866.500)";1;REGULAR
"POINT (350129.375 6177916.500)";1;REGULAR
"POINT (350129.375 6177966.500)";1;REGULAR
"POINT (350129.375 6178016.500)";1;REGULAR
"POINT (350129.375 6178066.500)";1;REGULAR
"POINT (350129.375 6178116.500)";1;REGULAR
"POINT (350129.375 6178166.500)";1;REGULAR
"POINT (350129.375 6178216.500)";1;REGULAR
"POINT (350129.375 6178266.500)";1;REGULAR
"POINT (350129.375 6178316.500)";1;REGULAR
"POINT (350129.375 6178366.500)";1;REGULAR
"POINT (350129.375 6178416.500)";1;REGULAR
"POINT (350129.375 6178466.500)";1;REGULAR
"POINT (350129.375 6178516.500)";1;REGULAR
"POINT (350129.375 6178566.500)";1;REGULAR
"POINT (350129.375 6178616.500)";1;REGULAR
"POINT (350129.375 6178666.500)";1;REGULAR
"POINT (350129.375 6178716.500)";1;REGULAR
"POINT (350129.375 6178766.500)";1;REGULAR
"POINT (350129.375 6178816.500)";1;REGULAR
"POINT (350129.375 6178866.500)";1;REGULAR
"POINT (350129.375 6178916.500)";1;REGULAR
"POINT (350129.375 6178966.500)";1;REGULAR
"POINT (350129.375 6179016.500)";1;REGULAR
"POINT (350129.375 6179066.500)";1;REGULAR
"POINT (350129.375 6179116.500)";1;REGULAR
"POINT (350129.375 6179166.500)";1;REGULAR
"POINT (350129.375 6179216.500)";1;REGULAR
"POINT (350129.375 6179266.500)";1;REGULAR
"POINT (350129.375 6179316.500)";1;REGULAR
"POINT (350129.375 6179366.500)";1;REGULAR
"POINT (350129.375 6179416.500)";1;REGULAR
"POINT (350129.375 6179466.500)";1;REGULAR
"POINT (350129.375 6179516.500)";1;REGULAR
"POINT (350129.375 6179566.500)";1;REGULAR
"POINT (350129.375 6179616.500)";1;REGULAR
"POINT (350129.375 6179666.500)";1;REGULAR
"POINT (350129.375 6179716.500)";1;REGULAR
"POINT (350179.375 6176566.500)";1;REGULAR
"POINT (350179.375 6176616.500)";1;REGULAR
"POINT (350179.375 6176666.500)";1;REGULAR
"POINT (350179.375 6176716.500)";1;REGULAR
"POINT (350179.375 6176766.500)";1;REGULAR
"POINT (350179.375 6176816.500)";1;REGULAR
"POINT (350179.375 6176866.500)";1;REGULAR
"POINT (350179.375 6176916.500)";1;REGULAR
"POINT (350179.375 6176966.500)";1;REGULAR
"POINT (350179.375 6177016.500)";1;REGULAR
"POINT (350179.375 6177066.500)";1;REGULAR
"POINT (350179.375 6177116.500)";1;REGULAR
"POINT (350179.375 6177166.500)";1;REGULAR
"POINT (350179.375 6177216.500)";1;REGULAR
"POINT (350179.375 6177266.500)";1;REGULAR
"POINT (350179.375 6177316.500)";1;REGULAR
"POINT (350179.375 6177366.500)";1;REGULAR
"POINT (350179.375 6177416.500)";1;REGULAR
"POINT (350179.375 6177466.500)";1;REGULAR
"POINT (350179.375 6177516.500)";1;REGULAR
"POINT (350179.375 6177566.500)";1;REGULAR
"POINT (350179.375 6177616.500)";1;REGULAR
"POINT (350179.375 6177666.500)";1;REGULAR
"POINT (350179.375 6177716.500)";1;REGULAR
"POINT (350179.375 6177766.500)";1;REGULAR
"POINT (350179.375 6177816.500)";1;REGULAR
"POINT (350179.375 6177866.500)";1;REGULAR
"POINT (350179.375 6177916.500)";1;REGULAR
"POINT (350179.375 6177966.500)";1;REGULAR
"POINT (350179.375 6178016.500)";1;REGULAR
"POINT (350179.375 6178066.500)";1;REGULAR
"POINT (350179.375 6178116.500)";1;REGULAR
"POINT (350179.375 6178166.500)";1;REGULAR
"POINT (350179.375 6178216.500)";1;REGULAR
"POINT (350179.375 6178266.500)";1;REGULAR
"POINT (350179.375 6178316.500)";1;REGULAR
"POINT (350179.375 6178366.500)";1;REGULAR
"POINT (350179.375 6178416.500)";1;REGULAR
"POINT (350179.375 6178466.500)";1;REGULAR
"POINT (350179.375 6178516.500)";1;REGULAR
"POINT (350179.375 6178566.500)";1;REGULAR
"POINT (350179.375 6178616.500)";1;REGULAR
"POINT (350179.375 6178666.500)";1;REGULAR
"POINT (350179.375 6178716.500)";1;REGULAR
"POINT (350179.375 6178766.500)";1;REGULAR
"POINT (350179.375 6178816.500)";1;REGULAR
"POINT (350179.375 6178866.500)";1;REGULAR
"POINT (350179.375 6178916.500)";1;REGULAR
"POINT (350179.375 6178966.500)";1;REGULAR
"POINT (350179.375 6179016.500)";1;REGULAR
"POINT (350179.375 6179066.500)";1;REGULAR
"POINT (350179.375 6179116.500)";1;REGULAR
"POINT (350179.375 6179166.500)";1;REGULAR
"POINT (350179.375 6179216.500)";1;REGULAR
"POINT (350179.375 6179266.500)";1;REGULAR
"POINT (350179.375 6179316.500)";1;REGULAR
"POINT (350179.375 6179366.500)";1;REGULAR
"POINT (350179.375 6179416.500)";1;REGULAR
"POINT (350179.375 6179466.500)";1;REGULAR
"POINT (350179.375 6179516.500)";1;REGULAR
"POINT (350179.375 6179566.500)";1;REGULAR
"POINT (350179.375 6179616.500)";1;REGULAR
"POINT (350179.375 6179666.500)";1;REGULAR
"POINT (350179.375 6179716.500)";1;REGULAR
"POINT (350229.375 6176566.500)";1;REGULAR
"POINT (350229.375 6176616.500)";1;REGULAR
"POINT (350229.375 6176666.500)";1;REGULAR
"POINT (350229.375 6176716.500)";1;REGULAR
"POINT (350229.375 6176766.500)";1;REGULAR
"POINT (350229.375 6176816.500)";1;REGULAR
"POINT (350229.375 6176866.500)";1;REGULAR
"POINT (350229.375 6176916.500)";1;REGULAR
"POINT (350229.375 6176966.500)";1;REGULAR
"POINT (350229.375 6177016.500)";1;REGULAR
"POINT (350229.375 6177066.500)";1;REGULAR
"POINT (350229.375 6177116.500)";1;REGULAR
"POINT (350229.375 6177166.500)";1;REGULAR
"POINT (350229.375 6177216.500)";1;REGULAR
"POINT (350229.375 6177266.500)";1;REGULAR
"POINT (350229.375 6177316.500)";1;REGULAR
"POINT (350229.375 6177366.500)";1;REGULAR
"POINT (350229.375 6177416.500)";1;REGULAR
"POINT (350229.375 6177466.500)";1;REGULAR
"POINT (350229.375 6177516.500)";1;REGULAR
"POINT (350229.375 6177566.500)";1;REGULAR
"POINT (350229.375 6177616.500)";1;REGULAR
"POINT (350229.375 6177666.500)";1;REGULAR
"POINT (350229.375 6177716.500)";1;REGULAR
"POINT (350229.375 6177766.500)";1;REGULAR
"POINT (350229.375 6177816.500)";1;REGULAR
"POINT (350229.375 6177866.500)";1;REGULAR
"POINT (350229.375 6177916.500)";1;REGULAR
"POINT (350229.375 6177966.500)";1;REGULAR
"POINT (350229.375 6178016.500)";1;REGULAR
"POINT (350229.375 6178066.500)";1;REGULAR
"POINT (350229.375 6178116.500)";1;REGULAR
"POINT (350229.375 6178166.500)";1;REGULAR
"POINT (350229.375 6178216.500)";1;REGULAR
"POINT (350229.375 6178266.500)";1;REGULAR
"POINT (350229.375 6178316.500)";1;REGULAR
"POINT (350229.375 6178366.500)";1;REGULAR
"POINT (350229.375 6178416.500)";1;REGULAR
"POINT (350229.375 6178466.500)";1;REGULAR
"POINT (350229.375 6178516.500)";1;REGULAR
"POINT (350229.375 6178566.500)";1;REGULAR
"POINT (350229.375 6178616.500)";1;REGULAR
"POINT (350229.375 6178666.500)";1;REGULAR
"POINT (350229.375 6178716.500)";1;REGULAR
"POINT (350229.375 6178766.500)";1;REGULAR
"POINT (350229.375 6178816.500)";1;REGULAR
"POINT (350229.375 6178866.500)";1;REGULAR
"POINT (350229.375 6178916.500)";1;REGULAR
"POINT (350229.375 6178966.500)";1;REGULAR
"POINT (350229.375 6179016.500)";1;REGULAR
"POINT (350229.375 6179066.500)";1;REGULAR
"POINT (350229.375 6179116.500)";1;REGULAR
"POINT (350229.375 6179166.500)";1;REGULAR
"POINT (350229.375 6179216.500)";1;REGULAR
"POINT (350229.375 6179266.500)";1;REGULAR
"POINT (350229.375 6179316.500)";1;REGULAR
"POINT (350229.375 6179366.500)";1;REGULAR
"POINT (350229.375 6179416.500)";1;REGULAR
"POINT (350229.375 6179466.500)";1;REGULAR
"POINT (350229.375 6179516.500)";1;REGULAR
"POINT (350229.375 6179566.500)";1;REGULAR
"POINT (350229.375 6179616.500)";1;REGULAR
"POINT (350229.375 6179666.500)";1;REGULAR
"POINT (350229.375 6179716.500)";1;REGULAR
"POINT (350229.375 6179766.500)";1;REGULAR
"POINT (350279.375 6176516.500)";1;REGULAR
"POINT (350279.375 6176566.500)";1;REGULAR
"POINT (350279.375 6176616.500)";1;REGULAR
"POINT (350279.375 6176666.500)";1;REGULAR
"POINT (350279.375 6176716.500)";1;REGULAR
"POINT (350279.375 6176766.500)";1;REGULAR
"POINT (350279.375 6176816.500)";1;REGULAR
"POINT (350279.375 6176866.500)";1;REGULAR
"POINT (350279.375 6176916.500)";1;REGULAR
"POINT (350279.375 6176966.500)";1;REGULAR
"POINT (350279.375 6177016.500)";1;REGULAR
"POINT (350279.375 6177066.500)";1;REGULAR
"POINT (350279.375 6177116.500)";1;REGULAR
"POINT (350279.375 6177166.500)";1;REGULAR
"POINT (350279.375 6177216.500)";1;REGULAR
"POINT (350279.375 6177266.500)";1;REGULAR
"POINT (350279.375 6177316.500)";1;REGULAR
"POINT (350279.375 6177366.500)";1;REGULAR
"POINT (350279.375 6177416.500)";1;REGULAR
"POINT (350279.375 6177466.500)";1;REGULAR
"POINT (350279.375 6177516.500)";1;REGULAR
"POINT (350279.375 6177566.500)";1;REGULAR
"POINT (350279.375 6177616.500)";1;REGULAR
"POINT (350279.375 6177666.500)";1;REGULAR
"POINT (350279.375 6177716.500)";1;REGULAR
"POINT (350279.375 6177766.500)";1;REGULAR
"POINT (350279.375 6177816.500)";1;REGULAR
"POINT (350279.375 6177866.500)";1;REGULAR
"POINT (350279.375 6177916.500)";1;REGULAR
"POINT (350279.375 6177966.500)";1;REGULAR
"POINT (350279.375 6178016.500)";1;REGULAR
"POINT (350279.375 6178066.500)";1;REGULAR
"POINT (350279.375 6178116.500)";1;REGULAR
"POINT (350279.375 6178166.500)";1;REGULAR
"POINT (350279.375 6178216.500)";1;REGULAR
"POINT (350279.375 6178266.500)";1;REGULAR
"POINT (350279.375 6178316.500)";1;REGULAR
"POINT (350279.375 6178366.500)";1;REGULAR
"POINT (350279.375 6178416.500)";1;REGULAR
"POINT (350279.375 6178466.500)";1;REGULAR
"POINT (350279.375 6178516.500)";1;REGULAR
"POINT (350279.375 6178566.500)";1;REGULAR
"POINT (350279.375 6178616.500)";1;REGULAR
"POINT (350279.375 6178666.500)";1;REGULAR
"POINT (350279.375 6178716.500)";1;REGULAR
"POINT (350279.375 6178766.500)";1;REGULAR
"POINT (350279.375 6178816.500)";1;REGULAR
"POINT (350279.375 6178866.500)";1;REGULAR
"POINT (350279.375 6178916.500)";1;REGULAR
"POINT (350279.375 6178966.500)";1;REGULAR
"POINT (350279.375 6179016.500)";1;REGULAR
"POINT (350279.375 6179066.500)";1;REGULAR
"POINT (350279.375 6179116.500)";1;REGULAR
"POINT (350279.375 6179166.500)";1;REGULAR
"POINT (350279.375 6179216.500)";1;REGULAR
"POINT (350279.375 6179266.500)";1;REGULAR
"POINT (350279.375 6179316.500)";1;REGULAR
"POINT (350279.375 6179366.500)";1;REGULAR
"POINT (350279.375 6179416.500)";1;REGULAR
"POINT (350279.375 6179466.500)";1;REGULAR
"POINT (350279.375 6179516.500)";1;REGULAR
"POINT (350279.375 6179566.500)";1;REGULAR
"POINT (350279.375 6179616.500)";1;REGULAR
"POINT (350279.375 6179666.500)";1;REGULAR
"POINT (350279.375 6179716.500)";1;REGULAR
"POINT (350279.375 6179766.500)";1;REGULAR
"POINT (350279.375 6179816.500)";1;REGULAR
"POINT (350329.375 6176466.500)";1;REGULAR
"POINT (350329.375 6176516.500)";1;REGULAR
"POINT (350329.375 6176566.500)";1;REGULAR
"POINT (350329.375 6176616.500)";1;REGULAR
"POINT (350329.375 6176666.500)";1;REGULAR
"POINT (350329.375 6176716.500)";1;REGULAR
"POINT (350329.375 6176766.500)";1;REGULAR
"POINT (350329.375 6176816.500)";1;REGULAR
"POINT (350329.375 6176866.500)";1;REGULAR
"POINT (350329.375 6176916.500)";1;REGULAR
"POINT (350329.375 6176966.500)";1;REGULAR
"POINT (350329.375 6177016.500)";1;REGULAR
"POINT (350329.375 6177066.500)";1;REGULAR
"POINT (350329.375 6177116.500)";1;REGULAR
"POINT (350329.375 6177166.500)";1;REGULAR
"POINT (350329.375 6177216.500)";1;REGULAR
"POINT (350329.375 6177266.500)";1;REGULAR
"POINT (350329.375 6177316.500)";1;REGULAR
"POINT (350329.375 6177366.500)";1;REGULAR
"POINT (350329.375 6177416.500)";1;REGULAR
"POINT (350329.375 6177466.500)";1;REGULAR
"POINT (350329.375 6177516.500)";1;REGULAR
"POINT (350329.375 6177566.500)";1;REGULAR
"POINT (350329.375 6177616.500)";1;REGULAR
"POINT (350329.375 6177666.500)";1;REGULAR
"POINT (350329.375 6177716.500)";1;REGULAR
"POINT (350329.375 6177766.500)";1;REGULAR
"POINT (350329.375 6177816.500)";1;REGULAR
"POINT (350329.375 6177866.500)";1;REGULAR
"POINT (350329.375 6177916.500)";1;REGULAR
"POINT (350329.375 6177966.500)";1;REGULAR
"POINT (350329.375 6178016.500)";1;REGULAR
"POINT (350329.375 6178066.500)";1;REGULAR
"POINT (350329.375 6178116.500)";1;REGULAR
"POINT (350329.375 6178166.500)";1;REGULAR
"POINT (350329.375 6178216.500)";1;REGULAR
"POINT (350329.375 6178266.500)";1;REGULAR
"POINT (350329.375 6178316.500)";1;REGULAR
"POINT (350329.375 6178366.500)";1;REGULAR
"POINT (350329.375 6178416.500)";1;REGULAR
"POINT (350329.375 6178466.500)";1;REGULAR
"POINT (350329.375 6178516.500)";1;REGULAR
"POINT (350329.375 6178566.500)";1;REGULAR
"POINT (350329.375 6178616.500)";1;REGULAR
"POINT (350329.375 6178666.500)";1;REGULAR
"POINT (350329.375 6178716.500)";1;REGULAR
"POINT (350329.375 6178766.500)";1;REGULAR
"POINT (350329.375 6178816.500)";1;REGULAR
"POINT (350329.375 6178866.500)";1;REGULAR
"POINT (350329.375 6178916.500)";1;REGULAR
"POINT (350329.375 6178966.500)";1;REGULAR
"POINT (350329.375 6179016.500)";1;REGULAR
"POINT (350329.375 6179066.500)";1;REGULAR
"POINT (350329.375 6179116.500)";1;REGULAR
"POINT (350329.375 6179166.500)";1;REGULAR
"POINT (350329.375 6179216.500)";1;REGULAR
"POINT (350329.375 6179266.500)";1;REGULAR
"POINT (350329.375 6179316.500)";1;REGULAR
"POINT (350329.375 6179366.500)";1;REGULAR
"POINT (350329.375 6179416.500)";1;REGULAR
"POINT (350329.375 6179466.500)";1;REGULAR
"POINT (350329.375 6179516.500)";1;REGULAR
"POINT (350329.375 6179566.500)";1;REGULAR
"POINT (350329.375 6179616.500)";1;REGULAR
"POINT (350329.375 6179666.500)";1;REGULAR
"POINT (350329.375 6179716.500)";1;REGULAR
"POINT (350329.375 6179766.500)";1;REGULAR
"POINT (350329.375 6179816.500)";1;REGULAR
"POINT (350329.375 6179866.500)";1;REGULAR
"POINT (350379.375 6176466.500)";1;REGULAR
"POINT (350379.375 6176516.500)";1;REGULAR
"POINT (350379.375 6176566.500)";1;REGULAR
"POINT (350379.375 6176616.500)";1;REGULAR
"POINT (350379.375 6176666.500)";1;REGULAR
"POINT (350379.375 6176716.500)";1;REGULAR
"POINT (350379.375 6176766.500)";1;REGULAR
"POINT (350379.375 6176816.500)";1;REGULAR
"POINT (350379.375 6176866.500)";1;REGULAR
"POINT (350379.375 6176916.500)";1;REGULAR
"POINT (350379.375 6176966.500)";1;REGULAR
"POINT (350379.375 6177016.500)";1;REGULAR
"POINT (350379.375 6177066.500)";1;REGULAR
"POINT (350379.375 6177116.500)";1;REGULAR
"POINT (350379.375 6177166.500)";1;REGULAR
"POINT (350379.375 6177216.500)";1;REGULAR
"POINT (350379.375 6177266.500)";1;REGULAR
"POINT (350379.375 6177316.500)";1;REGULAR
"POINT (350379.375 6177366.500)";1;REGULAR
"POINT (350379.375 6177416.500)";1;REGULAR
"POINT (350379.375 6177466.500)";1;REGULAR
"POINT (350379.375 6177516.500)";1;REGULAR
"POINT (350379.375 6177566.500)";1;REGULAR
"POINT (350379.375 6177616.500)";1;REGULAR
"POINT (350379.375 6177666.500)";1;REGULAR
"POINT (350379.375 6177716.500)";1;REGULAR
"POINT (350379.375 6177766.500)";1;REGULAR
"POINT (350379.375 6177816.500)";1;REGULAR
"POINT (350379.375 6177866.500)";1;REGULAR
"POINT (350379.375 6177916.500)";1;REGULAR
"POINT (350379.375 6177966.500)";1;REGULAR
"POINT (350379.375 6178016.500)";1;REGULAR
"POINT (350379.375 6178066.500)";1;REGULAR
"POINT (350379.375 6178116.500)";1;REGULAR
"POINT (350379.375 6178166.500)";1;REGULAR
"POINT (350379.375 6178216.500)";1;REGULAR
"POINT (350379.375 6178266.500)";1;REGULAR
"POINT (350379.375 6178316.500)";1;REGULAR
"POINT (350379.375 6178366.500)";1;REGULAR
"POINT (350379.375 6178416.500)";1;REGULAR
"POINT (350379.375 6178466.500)";1;REGULAR
"POINT (350379.375 6178516.500)";1;REGULAR
"POINT (350379.375 6178566.500)";1;REGULAR
"POINT (350379.375 6178616.500)";1;REGULAR
"POINT (350379.375 6178666.500)";1;REGULAR
"POINT (350379.375 6178716.500)";1;REGULAR
"POINT (350379.375 6178766.500)";1;REGULAR
"POINT (350379.375 6178816.500)";1;REGULAR
"POINT (350379.375 6178866.500)";1;REGULAR
"POINT (350379.375 6178916.500)";1;REGULAR
"POINT (350379.375 6178966.500)";1;REGULAR
"POINT (350379.375 6179016.500)";1;REGULAR
"POINT (350379.375 6179066.500)";1;REGULAR
"POINT (350379.375 6179116.500)";1;REGULAR
"POINT (350379.375 6179166.500)";1;REGULAR
"POINT (350379.375 6179216.500)";1;REGULAR
"POINT (350379.375 6179266.500)";1;REGULAR
"POINT (350379.375 6179316.500)";1;REGULAR
"POINT (350379.375 6179366.500)";1;REGULAR
"POINT (350379.375 6179416.500)";1;REGULAR
"POINT (350379.375 6179466.500)";1;REGULAR
"POINT (350379.375 6179516.500)";1;REGULAR
"POINT (350379.375 6179566.500)";1;REGULAR
"POINT (350379.375 6179616.500)";1;REGULAR
"POINT (350379.375 6179666.500)";1;REGULAR
"POINT (350379.375 6179716.500)";1;REGULAR
"POINT (350379.375 6179766.500)";1;REGULAR
"POINT (350379.375 6179816.500)";1;REGULAR
"POINT (350379.375 6179866.500)";1;REGULAR
"POINT (350429.375 6176416.500)";1;REGULAR
"POINT (350429.375 6176466.500)";1;REGULAR
"POINT (350429.375 6176516.500)";1;REGULAR
"POINT (350429.375 6176566.500)";1;REGULAR
"POINT (350429.375 6176616.500)";1;REGULAR
"POINT (350429.375 6176666.500)";1;REGULAR
"POINT (350429.375 6176716.500)";1;REGULAR
"POINT (350429.375 6176766.500)";1;REGULAR
"POINT (350429.375 6176816.500)";1;REGULAR
"POINT (350429.375 6176866.500)";1;REGULAR
"POINT (350429.375 6176916.500)";1;REGULAR
"POINT (350429.375 6176966.500)";1;REGULAR
"POINT (350429.375 6177016.500)";1;REGULAR
"POINT (350429.375 6177066.500)";1;REGULAR
"POINT (350429.375 6177116.500)";1;REGULAR
"POINT (350429.375 6177166.500)";1;REGULAR
"POINT (350429.375 6177216.500)";1;REGULAR
"POINT (350429.375 6177266.500)";1;REGULAR
"POINT (350429.375 6177316.500)";1;REGULAR
"POINT (350429.375 6177366.500)";1;REGULAR
"POINT (350429.375 6177416.500)";1;REGULAR
"POINT (350429.375 6177466.500)";1;REGULAR
"POINT (350429.375 6177516.500)";1;REGULAR
"POINT (350429.375 6177566.500)";1;REGULAR
"POINT (350429.375 6177616.500)";1;REGULAR
"POINT (350429.375 6177666.500)";1;REGULAR
"POINT (350429.375 6177716.500)";1;REGULAR
"POINT (350429.375 6177766.500)";1;REGULAR
"POINT (350429.375 6177816.500)";1;REGULAR
"POINT (350429.375 6177866.500)";1;REGULAR
